+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
|S                                                                             E|
+                                                                               +
|                        O                                                      |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+                                                                               +
|                                                                               |
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
